user,word,word_type,chunked_sentence,masked_chunked_sentence,example_sentence,masked_example_sentence,openai_sentence,masked_openai_sentence
User,about,Sight Words,,,"The Highway Department source told The Constitution , however , that Vandiver has not been consulted yet about the plans to issue the new rural roads bonds .","The highway department source told the constitution , however , that vandiver has not been consulted yet ***** the plans to issue the new rural roads bonds .",This book is about animals.,This book is ***** animals.
User,after,Sight Words,,,"He will be succeeded by Ivan Allen Jr. , who became a candidate in the Sept. 13 primary after Mayor Hartsfield announced that he would not run for reelection .","He will be succeeded by ivan allen jr. , who became a candidate in the sept. 13 primary ***** mayor hartsfield announced that he would not run for reelection .",Lunch is after class.,Lunch is ***** class.
User,all,Sight Words,,,"`` This is one of the major items in the Fulton County general assistance program '' , the jury said , but the State Welfare Department `` has seen fit to distribute these funds through the welfare departments of all the counties in the state with the exception of Fulton County , which receives none of this money .","`` this is one of the major items in the fulton county general assistance program '' , the jury said , but the state welfare department `` has seen fit to distribute these funds through the welfare departments of *** the counties in the state with the exception of fulton county , which receives none of this money .",All the cookies are gone.,*** the cookies are gone.
User,am,Sight Words,,,"`` But I am not in favor of a sales or state income tax at this time '' , Mitchell said .","`` but i ** not in favor of a sales or state income tax at this time '' , mitchell said .",I am happy today.,I ** happy today.
User,an,Sight Words,,,The Fulton County Grand Jury said Friday an investigation of Atlanta's recent primary election produced `` no evidence '' that any irregularities took place .,The fulton county gr**d jury said friday ** investigation of atl**ta's recent primary election produced `` no evidence '' that **y irregularities took place .,I saw an elephant.,I saw ** eleph**t.
User,and,Sight Words,,,"The jury further said in term-end presentments that the City Executive Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted .","The jury further said in term-end presentments that the city executive committee , which had over-all charge of the election , `` deserves the praise *** thanks of the city of atlanta '' for the manner in which the election was conducted .",I have a cat and a dog.,I have a cat *** a dog.
User,are,Sight Words,,,The jury said it did find that many of Georgia's registration and election laws `` are outmoded or inadequate and often ambiguous '' .,The jury said it did find that many of georgia's registration and election laws `` *** outmoded or inadequate and often ambiguous '' .,You are my best friend.,You *** my best friend.
User,as,Sight Words,,,"The City Purchasing Department , the jury said , `` is lacking in experienced clerical personnel as a result of city personnel policies '' .","The city purch**ing department , the jury said , `` is lacking in experienced clerical personnel ** a result of city personnel policies '' .",I am fast as a rabbit.,I am f**t ** a rabbit.
User,at,Sight Words,,,The grand jury took a swipe at the State Welfare Department's handling of federal funds granted for child welfare services in foster homes .,The grand jury took a swipe ** the st**e welfare department's handling of federal funds granted for child welfare services in foster homes .,I look at the stars.,I look ** the stars.
User,be,Sight Words,,,"However , the jury said it believes `` these two offices should be combined to achieve greater efficiency and reduce the cost of administration '' .","However , the jury said it **lieves `` these two offices should ** combined to achieve greater efficiency and reduce the cost of administration '' .",I want to be a doctor.,I want to ** a doctor.
